component,model,district,year,value
Drought,CHIRPS,Overberg,2011,0.02
Drought,CHIRPS,Garden Route,2011,-0.23
Drought,CHIRPS,City of Cape Town,2011,0.5
Drought,CHIRPS,Cacadu,2011,-0.15
Drought,CHIRPS,Cape Winelands,2011,-0.18
Drought,CHIRPS,Nelson Mandela Bay,2011,0.6
Drought,CHIRPS,West Coast,2011,-0.11
Drought,CHIRPS,Central Karoo,2011,-0.25
Drought,CHIRPS,Amathole,2011,-0.21
Drought,CHIRPS,Buffalo City,2011,-0.2
Drought,CHIRPS,Namakwa,2011,-0.23
Drought,CHIRPS,Chris Hani,2011,-0.25
Drought,CHIRPS,OR Tambo,2011,-0.26
Drought,CHIRPS,Pixley ka Seme,2011,-0.24
Drought,CHIRPS,Joe Gqabi,2011,-0.24
Drought,CHIRPS,Alfred Nzo,2011,-0.26
Drought,CHIRPS,Ugu,2011,-0.01
Drought,CHIRPS,Xhariep,2011,-0.24
Drought,CHIRPS,Harry Gwala,2011,-0.26
Drought,CHIRPS,eThekwini,2011,-0.2
Drought,CHIRPS,uMgungundlovu,2011,-0.26
Drought,CHIRPS,ZF Mgcawu,2011,-0.23
Drought,CHIRPS,iLembe,2011,-0.19
Drought,CHIRPS,Mangaung,2011,-0.25
Drought,CHIRPS,Thabo Mofutsanyane,2011,-0.26
Drought,CHIRPS,uThukela,2011,-0.27
Drought,CHIRPS,uMzinyathi,2011,-0.25
Drought,CHIRPS,King Cetshwayo,2011,-0.25
Drought,CHIRPS,Lejweleputswa,2011,-0.25
Drought,CHIRPS,Frances Baard,2011,-0.24
Drought,CHIRPS,Zululand,2011,-0.26
Drought,CHIRPS,uMkhanyakude,2011,-0.25
Drought,CHIRPS,Fezile Dabi,2011,-0.26
Drought,CHIRPS,Amajuba,2011,-0.25
Drought,CHIRPS,Dr Ruth Segomotsi Mompati,2011,-0.24
Drought,CHIRPS,John Taolo Gaetsewe,2011,-0.23
Drought,CHIRPS,Dr Kenneth Kaunda,2011,-0.25
Drought,CHIRPS,Gert Sibande,2011,-0.2
