component,model,province,year,value
Drought,CHIRPS,WC,2011,-0.16
Drought,CHIRPS,EC,2011,-0.2
Drought,CHIRPS,NC,2011,-0.24
Drought,CHIRPS,KZN,2011,-0.24
Drought,CHIRPS,FS,2011,-0.25
Drought,CHIRPS,NW,2011,-0.25
Drought,CHIRPS,MP,2011,-0.21
Drought,CHIRPS,GP,2011,-0.24
Drought,CHIRPS,LP,2011,-0.24
Drought,CHIRPS,WC,2012,-0.16
Drought,CHIRPS,EC,2012,-0.25
Drought,CHIRPS,NC,2012,-0.1
Drought,CHIRPS,KZN,2012,0.03
Drought,CHIRPS,FS,2012,0.91
Drought,CHIRPS,NW,2012,0.63
Drought,CHIRPS,MP,2012,0.78
Drought,CHIRPS,GP,2012,1.18
Drought,CHIRPS,LP,2012,0.13
Drought,CHIRPS,WC,2013,-0.23
Drought,CHIRPS,EC,2013,-0.23
Drought,CHIRPS,NC,2013,-0.18
Drought,CHIRPS,KZN,2013,-0.26
Drought,CHIRPS,FS,2013,-0.22
Drought,CHIRPS,NW,2013,-0.2
Drought,CHIRPS,MP,2013,-0.23
Drought,CHIRPS,GP,2013,-0.24
Drought,CHIRPS,LP,2013,-0.24
Drought,CHIRPS,WC,2014,-0.25
Drought,CHIRPS,EC,2014,-0.25
Drought,CHIRPS,NC,2014,-0.22
Drought,CHIRPS,KZN,2014,0.17
Drought,CHIRPS,FS,2014,-0.22
Drought,CHIRPS,NW,2014,-0.21
Drought,CHIRPS,MP,2014,-0.24
Drought,CHIRPS,GP,2014,-0.21
Drought,CHIRPS,LP,2014,-0.23
Drought,CHIRPS,WC,2015,0.2
Drought,CHIRPS,EC,2015,-0.17
Drought,CHIRPS,NC,2015,-0.13
Drought,CHIRPS,KZN,2015,0.93
Drought,CHIRPS,FS,2015,0.03
Drought,CHIRPS,NW,2015,0.8
Drought,CHIRPS,MP,2015,-0.02
Drought,CHIRPS,GP,2015,-0.12
Drought,CHIRPS,LP,2015,0.02
Drought,CHIRPS,WC,2016,-0.2
Drought,CHIRPS,EC,2016,0.02
Drought,CHIRPS,NC,2016,-0.09
Drought,CHIRPS,KZN,2016,2.08
Drought,CHIRPS,FS,2016,1.58
Drought,CHIRPS,NW,2016,0.53
Drought,CHIRPS,MP,2016,0.01
Drought,CHIRPS,GP,2016,-0.05
Drought,CHIRPS,LP,2016,-0.07
Drought,CHIRPS,WC,2017,2.6
Drought,CHIRPS,EC,2017,0.48
Drought,CHIRPS,NC,2017,1.01
Drought,CHIRPS,KZN,2017,-0.2
Drought,CHIRPS,FS,2017,-0.19
Drought,CHIRPS,NW,2017,-0.25
Drought,CHIRPS,MP,2017,-0.26
Drought,CHIRPS,GP,2017,-0.25
Drought,CHIRPS,LP,2017,-0.24
Drought,CHIRPS,WC,2018,1
Drought,CHIRPS,EC,2018,-0.16
Drought,CHIRPS,NC,2018,0.25
Drought,CHIRPS,KZN,2018,-0.24
Drought,CHIRPS,FS,2018,-0.11
Drought,CHIRPS,NW,2018,-0.21
Drought,CHIRPS,MP,2018,-0.25
Drought,CHIRPS,GP,2018,-0.25
Drought,CHIRPS,LP,2018,-0.17
Drought,CHIRPS,WC,2019,0.21
Drought,CHIRPS,EC,2019,0.44
Drought,CHIRPS,NC,2019,0.95
Drought,CHIRPS,KZN,2019,-0.26
Drought,CHIRPS,FS,2019,-0.25
Drought,CHIRPS,NW,2019,-0.09
Drought,CHIRPS,MP,2019,-0.26
Drought,CHIRPS,GP,2019,-0.25
Drought,CHIRPS,LP,2019,-0.24
Drought,CHIRPS,WC,2020,0.04
Drought,CHIRPS,EC,2020,-0.04
Drought,CHIRPS,NC,2020,0.05
Drought,CHIRPS,KZN,2020,-0.1
Drought,CHIRPS,FS,2020,-0.25
Drought,CHIRPS,NW,2020,-0.25
Drought,CHIRPS,MP,2020,-0.25
Drought,CHIRPS,GP,2020,-0.25
Drought,CHIRPS,LP,2020,-0.24
Drought,CHIRPS,WC,2021,0.03
Drought,CHIRPS,EC,2021,0.9
Drought,CHIRPS,NC,2021,-0.06
Drought,CHIRPS,KZN,2021,-0.26
Drought,CHIRPS,FS,2021,-0.25
Drought,CHIRPS,NW,2021,-0.25
Drought,CHIRPS,MP,2021,-0.23
Drought,CHIRPS,GP,2021,-0.25
Drought,CHIRPS,LP,2021,-0.24
Drought,CHIRPS,WC,2022,-0.25
Drought,CHIRPS,EC,2022,-0.25
Drought,CHIRPS,NC,2022,-0.22
Drought,CHIRPS,KZN,2022,-0.26
Drought,CHIRPS,FS,2022,-0.25
Drought,CHIRPS,NW,2022,-0.25
Drought,CHIRPS,MP,2022,-0.25
Drought,CHIRPS,GP,2022,-0.25
Drought,CHIRPS,LP,2022,-0.24
Drought,CHIRPS,WC,2023,-0.25
Drought,CHIRPS,EC,2023,-0.25
Drought,CHIRPS,NC,2023,-0.09
Drought,CHIRPS,KZN,2023,-0.26
Drought,CHIRPS,FS,2023,-0.23
Drought,CHIRPS,NW,2023,-0.1
Drought,CHIRPS,MP,2023,-0.25
Drought,CHIRPS,GP,2023,-0.2
Drought,CHIRPS,LP,2023,0.03
Drought,CHIRPS,WC,2024,-0.25
Drought,CHIRPS,EC,2024,-0.21
Drought,CHIRPS,NC,2024,-0.09
Drought,CHIRPS,KZN,2024,-0.26
Drought,CHIRPS,FS,2024,-0.25
Drought,CHIRPS,NW,2024,-0.23
Drought,CHIRPS,MP,2024,-0.26
Drought,CHIRPS,GP,2024,-0.24
Drought,CHIRPS,LP,2024,-0.15
Drought,CHIRPS,WC,2025,0.92
Drought,CHIRPS,EC,2025,-0.1
Drought,CHIRPS,NC,2025,-0.22
Drought,CHIRPS,KZN,2025,-0.27
Drought,CHIRPS,FS,2025,-0.27
Drought,CHIRPS,NW,2025,-0.25
Drought,CHIRPS,MP,2025,-0.26
Drought,CHIRPS,GP,2025,-0.25
Drought,CHIRPS,LP,2025,-0.25
